iter	Passed	Remaining
405	11527	16865
406	11567	16853
407	11597	16828
408	11620	16791
409	11648	16762
410	11679	16738
411	11706	16707
412	11732	16675
413	11759	16644
414	11788	16617
415	11809	16578
416	11839	16552
417	11882	16544
418	11906	16510
419	11929	16474
420	11965	16455
421	12003	16440
422	12036	16418
423	12067	16393
424	12101	16372
425	12132	16347
426	12167	16327
427	12219	16331
428	12278	16342
429	12327	16340
430	12352	16308
431	12407	16313
432	12434	16282
433	12458	16247
434	12484	16214
435	12512	16186
436	12544	16161
437	12570	16129
438	12603	16106
439	12634	16079
440	12661	16049
441	12690	16021
442	12720	15993
443	12750	15966
444	12798	15962
445	12838	15947
446	12868	15919
447	12893	15886
448	12918	15853
449	12954	15832
450	12979	15799
451	13011	15774
452	13040	15746
453	13066	15714
454	13106	15698
455	13128	15662
456	13147	15622
457	13191	15610
458	13206	15566
459	13221	15520
460	13235	15475
461	13263	15444
462	13282	15405
463	13295	15358
464	13314	15319
465	13327	15272
466	13348	15235
467	13363	15190
468	13380	15149
469	13402	15112
470	13428	15082
471	13449	15044
472	13466	15003
473	13488	14968
474	13514	14937
475	13534	14898
476	13558	14866
477	13580	14831
478	13611	14805
479	13634	14770
480	13653	14731
481	13677	14698
482	13693	14656
483	13712	14619
484	13734	14583
485	13757	14549
486	13774	14510
487	13795	14473
488	13810	14431
489	13830	14395
490	13852	14359
491	13877	14328
492	13905	14300
493	13923	14261
494	13937	14219
495	13960	14185
496	13977	14146
497	14004	14116
498	14030	14087
499	14053	14053
500	14075	14019
501	14115	14002
502	14135	13966
503	14155	13931
504	14176	13896
505	14203	13866
506	14219	13827
507	14248	13799
508	14268	13763
509	14291	13730
510	14315	13699
511	14334	13662
512	14355	13627
513	14382	13599
514	14404	13565
515	14427	13532
516	14451	13501
517	14467	13462
518	14486	13426
519	14511	13395
520	14530	13359
521	14550	13323
522	14574	13292
523	14606	13268
524	14631	13238
525	14651	13202
526	14671	13168
527	14692	13134
528	14722	13108
529	14741	13072
530	14762	13038
531	14794	13015
532	14814	12979
533	14841	12951
534	14863	12918
535	14877	12878
536	14901	12847
537	14923	12815
538	14954	12790
539	14971	12753
540	15003	12729
541	15039	12708
542	15081	12693
543	15113	12668
544	15158	12655
545	15205	12643
546	15263	12640
547	15311	12629
548	15340	12602
549	15353	12562
550	15370	12525
551	15385	12486
552	15439	12480
553	15461	12447
554	15481	12413
555	15501	12378
556	15531	12352
557	15555	12321
558	15572	12285
559	15591	12250
560	15608	12214
561	15635	12185
562	15658	12153
563	15679	12121
564	15707	12093
565	15744	12072
566	15760	12036
567	15791	12010
568	15859	12013
569	15904	11998
570	15938	11974
571	15978	11955
572	16007	11929
573	16031	11897
574	16053	11865
575	16080	11836
576	16096	11800
577	16123	11772
578	16146	11740
579	16182	11718
580	16218	11696
581	16243	11666
582	16295	11655
583	16329	11631
584	16360	11606
585	16401	11587
586	16418	11551
587	16444	11522
588	16474	11495
589	16508	11471
590	16544	11449
591	16592	11435
592	16620	11407
593	16647	11378
594	16677	11352
